job_number,prop_stories, occ_init,dcp_occ_pr,dcp_occ_category,units_init,units_prop,units_prop_res,units_prop_hotel,units_net_complete,units_net_incomplete,unit_change_preapr2010,unit_change_postapr2010,unit_change_2011,unit_change_2012,unit_change_2013,unit_change_2014,unit_change_2015,unit_change_2016,unit_change_2017,unit_change_2018,x_mixeduse,bbl,bin,Latitude,Longitude,Reason
101412008,,,,,,,,,,,,,,,,,,,,,,1007350057,1012978,40.75639,-73.996138,Geocoding (add Lat/Long)
101443742,,,,,,,,,,,,,,,,,,,,,,1018400052,1055502,40.79797,-73.962239,Geocoding (add Lat/Long)
101451395,,,,,,,,,,,,,,,,,,,,,,1013630037,1040143,40.754414,-73.96413,Geocoding (add Lat/Long)
101482726,,,,,,,,,,,,,,,,,,,,,,1014070043,1042853,40.770522,-73.960915,Geocoding (add Lat/Long)
101517208,,,,,,,,,,,,,,,,,,,,,,1012460043,1033864,40.788433,-73.979492,Geocoding (add Lat/Long)
101518528,,,,,,,,,,,,,,,,,,,,,,1012710017,1034821,40.762583,-73.976522,Geocoding (add Lat/Long)
101551152,,,,,,,,,,,,,,,,,,,,,,1008260016,1015594,40.743325,-73.991166,Geocoding (add Lat/Long)
101573744,,,,,,,,,,,,,,,,,,,,,,1012500091,1034048,40.791057,-73.976649,Geocoding (add Lat/Long)
101607520,,,,,,,,,,,,,,,,,,,,,,1006420057,1012143,40.738478,-74.006726,Geocoding (add Lat/Long)
101618518,,,,,,,,,,,,,,,,,,,,,,1015267501,1048523,40.774967,-73.956244,Geocoding (add Lat/Long)
101632752,,,,,,,,,,,,,,,,,,,,,,1004210049,1087564,40.721677,-73.990844,Geocoding (add Lat/Long)
101678640,,,,,,,,,,,,,,,,,,,,,,1010270060,1024885,40.765642,-73.983008,Geocoding (add Lat/Long)
101693311,,,,,,,,,,,,,,,,,,,,,,1014707501,1081245,40.770228,-73.953749,Geocoding (add Lat/Long)
101694098,,,,,,,,,,,,,,,,,,,,,,1014517501,1045192,40.771689,-73.955817,Geocoding (add Lat/Long)
101695499,,,,,,,,,,,,,,,,,,,,,,1012720026,1084673,40.76292,-73.97536,Geocoding (add Lat/Long)
101730352,,,,,,,,,,,,,,,,,,,,,,1015697503,1087460,40.779286,-73.947175,Geocoding (add Lat/Long)
101850855,,,,,,,,,,,,,,,,,,,,,,1012010010,1031449,40.786993,-73.970699,Geocoding (add Lat/Long)
101851060,,,,,,,,,,,,,,,,,,,,,,1015230010,1048415,40.785036,-73.952403,Geocoding (add Lat/Long)
101857224,,,,,,,,,,,,,,,,,,,,,,1012740006,1080443,40.764995,-73.975734,Geocoding (add Lat/Long)
101900007,,,,,,,,,,,,,,,,,,,,,,1012170021,1032194,40.787172,-73.973129,Geocoding (add Lat/Long)
101902853,,,,,,,,,,,,,,,,,,,,,,1019280048,1058579,40.808055,-73.950782,Geocoding (add Lat/Long)
101911718,,,,,,,,,,,,,,,,,,,,,,1008220069,1015511,40.741085,-73.993028,Geocoding (add Lat/Long)
101933259,,,,,,,,,,,,,,,,,,,,,,1004110038,1005366,40.720395,-73.988827,Geocoding (add Lat/Long)
101949723,,,,,,,,,,,,,,,,,,,,,,1001240007,1001400,40.713245,-74.008387,Geocoding (add Lat/Long)
101953744,,,,,,,,,,,,,,,,,,,,,,1015310028,1048772,40.777768,-73.952231,Geocoding (add Lat/Long)
101964206,,,,,,,,,,,,,,,,,,,,,,1002090011,1002684,40.719364,-74.000725,Geocoding (add Lat/Long)
101979922,,,,,,,,,,,,,,,,,,,,,,1012490039,1033978,40.790302,-73.97774,Geocoding (add Lat/Long)
101981713,,,,,,,,,,,,,,,,,,,,,,1013290024,1038583,40.758406,-73.96629,Geocoding (add Lat/Long)
101993568,,,,,,,,,,,,,,,,,,,,,,1002090011,1002684,40.719364,-74.000725,Geocoding (add Lat/Long)
102001708,,,,,,,,,,,,,,,,,,,,,,1007200045,1086503,40.746142,-74.00196,Geocoding (add Lat/Long)
102010315,,,,,,,,,,,,,,,,,,,,,,1020510117,1061096,40.82281,-73.943986,Geocoding (add Lat/Long)
102015819,,,,,,,,,,,,,,,,,,,,,,1016020060,1051456,40.787995,-73.954459,Geocoding (add Lat/Long)
102045396,,,,,,,,,,,,,,,,,,,,,,1006030051,1010408,40.731429,-74.007581,Geocoding (add Lat/Long)
102116933,,,,,,,,,,,,,,,,,,,,,,1010530023,1026359,40.759659,-73.992871,Geocoding (add Lat/Long)
102134450,,,,,,,,,,,,,,,,,,,,,,1004570032,1006541,40.724699,-73.990876,Geocoding (add Lat/Long)
102138820,,,,,,,,,,,,,,,,,,,,,,1018390020,1055472,40.796735,-73.962554,Geocoding (add Lat/Long)
102151083,,,,,,,,,,,,,,,,,,,,,,1003860063,1076939,40.722607,-73.982247,Geocoding (add Lat/Long)
102153839,,,,,,,,,,,,,,,,,,,,,,1001410018,1001518,40.717173,-74.010404,Geocoding (add Lat/Long)
102154026,,,,,,,,,,,,,,,,,,,,,,1005907502,1076078,40.732604,-74.00228,Geocoding (add Lat/Long)
102243948,,,,,,,,,,,,,,,,,,,,,,1001460011,1001598,40.716075,-74.008549,Geocoding (add Lat/Long)
102324655,,,,,,,,,,,,,,,,,,,,,,1021100015,1087429,40.835892,-73.938576,Geocoding (add Lat/Long)
102427928,,,,,,,,,,,,,,,,,,,,,,1006150059,1011035,40.737976,-74.003688,Geocoding (add Lat/Long)
102436115,,,,,,,,,,,,,,,,,,,,,,1005260076,1008335,40.727977,-74.00136,Geocoding (add Lat/Long)
102445588,,,,,,,,,,,,,,,,,,,,,,1016240045,1087218,40.786435,-73.950499,Geocoding (add Lat/Long)
102465814,,,,,,,,,,,,,,,,,,,,,,1011540156,1030331,40.774044,-73.987858,Geocoding (add Lat/Long)
102465823,,,,,,,,,,,,,,,,,,,,,,1011540158,1030332,40.773975,-73.987699,Geocoding (add Lat/Long)
102465832,,,,,,,,,,,,,,,,,,,,,,1011540160,1030333,40.773909,-73.98754,Geocoding (add Lat/Long)
102465841,,,,,,,,,,,,,,,,,,,,,,1011540162,1030334,40.773841,-73.987378,Geocoding (add Lat/Long)
102507253,,,,,147,4,4,247,4,0,,0,0,-143,0,0,0,0,0,0,,1013050033,1036456,40.756151,-73.970944,Geocoding (add Lat/Long) / mixed-use hotel-res
102515253,,,,,,,,,,,,,,,,,,,,,,1013037501,1036233,40.755138,-73.972442,Geocoding (add Lat/Long)
102549299,,,,,,,,,,,,,,,,,,,,,,1004680007,1079847,40.732327,-73.987526,Geocoding (add Lat/Long)
102554077,,,,,,,,,,,,,,,,,,,,,,1002300020,1002991,40.72112,-74.002323,Geocoding (add Lat/Long)
